Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-March-2018,140.00,142.00,133.00,134.95,136.681686399754855343,1514208,12008,206964503.00,777428,51.34,9.00,-5.05
9-March-2018,133.90,140.00,133.50,136.05,137.677688074141601047,2210365,12790,304317943.00,1013333,45.84,6.50,2.15
8-March-2018,124.85,134.60,121.00,133.05,128.671365027323561731,2832903,23625,364513496.00,1248446,44.07,13.60,8.20
7-March-2018,131.00,131.00,122.25,124.05,126.759067444566253775,1428462,6760,181070511.00,931447,65.21,8.75,-6.95
6-March-2018,134.50,136.50,129.85,131.15,133.490866097790837056,702438,3497,93769057.00,462448,65.83,6.65,-3.35
5-March-2018,137.90,139.00,134.05,134.30,136.871920870013576223,2113990,4887,289345872.00,1768361,83.65,4.95,-3.60
1-March-2018,139.00,140.00,137.50,138.00,138.813732930438881890,646985,10195,89810403.00,324989,50.23,2.50,-1.00
28-February-2018,137.00,140.10,136.20,138.05,138.417048559530185966,1252751,14490,173402096.00,593127,47.35,3.90,1.05
27-February-2018,140.95,141.65,137.25,138.15,138.909204286575954600,661507,3561,91889411.00,317810,48.04,4.40,-2.80
26-February-2018,138.35,142.00,138.00,140.20,140.488861592075726417,1274060,9504,178991239.00,551365,43.28,4.00,1.85
23-February-2018,138.80,139.40,135.70,137.50,137.583811252508621060,1512285,13448,208065934.00,719437,47.57,3.70,-1.30
22-February-2018,142.50,142.50,138.10,138.85,140.103296896037637542,969245,7384,135794420.00,585448,60.40,4.40,-3.65
21-February-2018,142.30,145.20,141.35,142.50,143.000308624593099874,1331715,7747,190435656.00,711320,53.41,3.85,0.20
20-February-2018,145.00,145.00,138.10,141.10,141.476083584656398770,800099,4173,113194873.00,309000,38.62,6.90,-3.90
19-February-2018,144.00,149.00,142.50,143.45,145.046356155618322023,3188185,17071,462434617.00,1328931,41.68,6.50,-0.55
16-February-2018,140.90,143.40,140.00,141.45,141.438749384412684579,1551364,5484,219422984.00,805802,51.94,3.40,0.55
15-February-2018,145.00,147.00,138.00,139.70,141.735608015557856123,2893972,12129,410178881.00,1455045,50.28,9.00,-5.30
14-February-2018,150.00,154.00,143.10,145.05,150.048467497154596449,3586486,16121,538146728.00,1789711,49.90,10.90,-4.95
12-February-2018,144.00,150.80,144.00,148.35,148.190196355669064379,4491085,33554,665534768.00,2288243,50.95,6.80,4.35
9-February-2018,136.10,144.00,135.00,141.65,141.551651252644276997,3431940,17230,485796774.00,1515659,44.16,9.00,5.55
8-February-2018,136.65,142.80,136.65,140.25,140.724556302653966891,4082907,22260,574565276.00,1989894,48.74,6.15,3.60
7-February-2018,132.00,139.00,131.40,134.50,135.793503334302826799,4593464,21112,623762569.00,1465200,31.90,7.60,2.50
6-February-2018,124.95,130.00,123.20,129.35,127.697019512193127662,2446009,16114,312348059.00,1335414,54.60,6.80,4.40
5-February-2018,123.00,132.15,121.10,131.60,128.632521581331283000,1920989,9629,247101659.00,873470,45.47,11.05,8.60
2-February-2018,130.10,133.45,122.00,126.05,127.844052597194984489,3249679,20318,415452133.00,1408713,43.35,11.45,-4.05
1-February-2018,124.25,142.00,122.25,131.40,132.086734830308551850,6918351,27576,913822394.00,2390976,34.56,19.75,7.15
31-January-2018,127.75,129.75,123.50,124.25,126.750953558030651118,1719350,9401,217929252.00,1008306,58.64,6.25,-3.50
30-January-2018,122.00,128.50,120.30,127.70,125.938113801208221570,3079071,11878,387772394.00,1575934,51.18,8.20,5.70
29-January-2018,115.00,123.00,115.00,121.70,120.687910769058364858,2766305,13897,333859571.00,1747508,63.17,8.00,6.70
25-January-2018,122.00,122.80,114.70,115.70,118.874690794280750282,3231263,12512,384115390.00,2393942,74.09,8.10,-6.30
24-January-2018,121.65,122.00,119.00,120.40,119.861893451110144252,2371944,11711,284305699.00,1836289,77.42,3.00,-1.25
23-January-2018,122.00,125.00,121.00,121.40,123.228829581834892945,1945356,10301,239723943.00,987981,50.79,4.00,-0.60
22-January-2018,121.75,124.00,121.05,121.70,122.523022419548969799,939671,6992,115131331.00,567400,60.38,2.95,-0.05
19-January-2018,118.00,124.90,118.00,121.75,122.187202522088140622,1887325,16355,230606962.00,1072446,56.82,6.90,3.75
18-January-2018,124.00,125.70,118.10,119.65,121.498311260219243065,1774104,13205,215550640.00,1154891,65.10,7.60,-4.35
17-January-2018,123.00,125.50,117.00,124.95,123.571897001005158479,3798406,21112,469376235.00,2647734,69.71,8.50,1.95
16-January-2018,129.10,129.95,123.00,124.15,126.041024729279894091,1827995,11020,230402363.00,1093958,59.84,6.95,-4.95
